protein1,protein2,Bait,Prey,GeneName,crisprKD,crisprContrast
9606.ENSP00000307889,9606.ENSP00000222247,Cfp6,P26373,RPL13,RPL18A,TNFpos_iNOSneg-unsorted
9606.ENSP00000307889,9606.ENSP00000346015,Cfp6,P26373,RPL13,RPL27A,TNFpos_iNOSneg-unsorted
9606.ENSP00000307889,9606.ENSP00000345957,Cfp6,P26373,RPL13,RPS21,TNFpos_iNOSneg-unsorted
9606.ENSP00000309555,9606.ENSP00000406037,Rv3668c,P51610,HCFC1,KAT8,TNFpos_iNOSneg-unsorted
9606.ENSP00000310226,9606.ENSP00000267199,ESAT6,Q9H0U4,RAB1B,VPS33A,TNFpos_iNOSneg-unsorted
9606.ENSP00000313420,9606.ENSP00000262319,Rv1816,P78527,PRKDC,TELO2,TNFpos_iNOSpos-unsorted
9606.ENSP00000313420,9606.ENSP00000406037,Rv1816,P78527,PRKDC,KAT8,TNFpos_iNOSneg-unsorted
9606.ENSP00000313420,9606.ENSP00000482313,Rv1816,P78527,PRKDC,RECQL4,TNFpos_iNOSneg-unsorted
9606.ENSP00000313420,9606.ENSP00000267415,Rv1816,P78527,PRKDC,TINF2,TNFpos_iNOSpos-unsorted
9606.ENSP00000315702,9606.ENSP00000317334,Rv1804c,Q9Y3A3,MOB4,TCP1,TNFpos_iNOSneg-unsorted
9606.ENSP00000316357,9606.ENSP00000356982,Rv1816,Q93008,USP9X,UFC1,TNFpos_iNOSpos-unsorted
9606.ENSP00000316357,9606.ENSP00000368970,Rv1816,Q93008,USP9X,UFM1,TNFpos_iNOSneg-unsorted
9606.ENSP00000318177,9606.ENSP00000366604,Apa,Q96I24,FUBP3,SF1,TNFpos_iNOSneg-unsorted
9606.ENSP00000322419,9606.ENSP00000361076,Rv2074,P05387,RPLP2,RPL7A,TNFpos_iNOSneg-unsorted
9606.ENSP00000322419,9606.ENSP00000346015,Rv2074,P05387,RPLP2,RPL27A,TNFpos_iNOSneg-unsorted
9606.ENSP00000322419,9606.ENSP00000363018,Rv2074,P05387,RPLP2,RPL10A,TNFpos_iNOSneg-unsorted
9606.ENSP00000322419,9606.ENSP00000308897,Rv2074,P05387,RPLP2,MRPL11,TNFpos_iNOSneg-unsorted
9606.ENSP00000322419,9606.ENSP00000272418,Rv2074,P05387,RPLP2,MRPS5,TNFpos_iNOSpos-unsorted
