protein1,protein2,Bait,Prey,GeneName,crisprKD,crisprContrast
9606.ENSP00000437256,9606.ENSP00000417602,Rv2469c,Q9UPY3,DICER1,MRPL47,TNFpos_iNOSneg-unsorted
9606.ENSP00000437256,9606.ENSP00000341885,Rv2469c,Q9UPY3,DICER1,RPS2,TNFpos_iNOSpos-unsorted
9606.ENSP00000437256,9606.ENSP00000464342,Rv2469c,Q9UPY3,DICER1,RPL36,TNFpos_iNOSneg-unsorted
9606.ENSP00000440222,9606.ENSP00000400591,Rv1827,Q9Y383,LUC7L2,SNRPE,TNFpos_iNOSneg-unsorted
9606.ENSP00000442699,9606.ENSP00000215793,Rv2074,O43719,HTATSF1,SF3A1,TNFpos_iNOSneg-unsorted
9606.ENSP00000442699,9606.ENSP00000400591,Rv2074,O43719,HTATSF1,SNRPE,TNFpos_iNOSneg-unsorted
9606.ENSP00000444029,9606.ENSP00000379182,Pe35,P49790,NUP153,RAE1,TNFpos_iNOSneg-unsorted
9606.ENSP00000444029,9606.ENSP00000264883,Pe35,P49790,NUP153,NUP54,TNFpos_iNOSneg-unsorted
9606.ENSP00000444029,9606.ENSP00000367721,Pe35,P49790,NUP153,NUP160,low_IFNB
9606.ENSP00000444029,9606.ENSP00000219169,Pe35,P49790,NUP153,NUTF2,TNFpos_iNOSneg-unsorted
